station_name;station_no;ts_id;ts_name;parametertype_name;stationparameter_name;from;to
Gauge - Carp River near Kinburn;02KF011;55168042;226.SeasonalHistMean;River Discharge;Q;1971-12-01 00:00:00;2025-03-01 00:00:00
Gauge - Mississippi River below Marble Lake;02KF016;55169042;226.SeasonalHistMean;River Discharge;Q;1986-12-01 00:00:00;2025-03-01 00:00:00
Gauge - Clyde River at Gordon Rapids;02KF013;55170042;226.SeasonalHistMean;River Discharge;Q;1971-12-01 00:00:00;2025-03-01 00:00:00
Gauge - Mississippi River at outlet Dalhousie Lake;02KF019;55171042;226.SeasonalHistMean;River Discharge;Q;2011-12-01 00:00:00;2025-03-01 00:00:00
Gauge - Carleton Place Dam;MVCA9;55224042;190.Bay 1 Flow;River Discharge;Q;2008-11-18 00:00:00;2024-01-11 06:00:00
Gauge - Carleton Place Dam;MVCA9;55232042;191.Bay 2 Flow;River Discharge;Q;2008-11-18 00:00:00;2024-01-11 06:00:00
Gauge - Carleton Place Dam;MVCA9;55233042;192.Bay 3 Flow;River Discharge;Q;2008-11-18 00:00:00;2024-01-11 06:00:00
Gauge - Carleton Place Dam;MVCA9;55234042;193.Bay 4 Flow;River Discharge;Q;2008-11-18 00:00:00;2024-01-11 06:00:00
Gauge - Carleton Place Dam;MVCA9;55235042;194.Bay 5 Flow;River Discharge;Q;2008-11-18 00:00:00;2024-01-11 06:00:00
Gauge - Palmerston Lake;MVCA6;55240042;190.Bay 1 Flow;River Discharge;Q;2000-01-13 11:00:00;2024-01-11 06:00:00
Gauge - Kashwakamak Lake;MVCA3;55241042;190.Bay 1 Flow;River Discharge;Q;1993-12-13 00:00:00;2024-01-11 06:00:00
Gauge - Kashwakamak Lake;MVCA3;55242042;191.Bay 2 Flow;River Discharge;Q;1993-12-13 00:00:00;2024-01-11 06:00:00
Gauge - Mississippi River at High Falls;MVCA26;55243042;190.Bay 1 Flow;River Discharge;Q;1993-01-01 00:00:00;2023-05-23 13:23:58
Gauge - Mississippi River at High Falls;MVCA26;55244042;191.Bay 2 Flow;River Discharge;Q;1993-01-01 00:00:00;2023-05-23 13:23:58
Gauge - Mississippi River at High Falls;MVCA26;55245042;192.Bay 3 Flow;River Discharge;Q;1993-01-01 00:00:00;2023-05-23 13:23:58
Gauge - Mississippi River at High Falls;MVCA26;55246042;193.Bay 4 Flow;River Discharge;Q;1993-01-01 00:00:00;2023-05-23 13:23:58
Gauge - Summit Lake;MVCA27;55247042;190.Bay 1 Flow;River Discharge;Q;2019-07-20 09:00:00;2024-01-11 07:00:00
Gauge - Malcolm Lake;MVCA23;55248042;190.Bay 1 Flow;River Discharge;Q;2020-10-26 00:00:00;2024-01-11 06:00:00
Gauge - Crotch Lake GOES;MVCA20;55249042;190.Bay 1 Flow;River Discharge;Q;1965-01-02 23:47:46;2024-01-11 07:59:59
Gauge - Mazinaw Lake;MVCA2;55250042;190.Bay 1 Flow;River Discharge;Q;1994-04-28 00:00:00;2024-01-09 12:00:00
Gauge - Mazinaw Lake;MVCA2;55251042;191.Bay 2 Flow;River Discharge;Q;1994-04-28 00:00:00;2024-01-09 12:00:00
Gauge - Lanark Dam;MVCA18;55252042;190.Bay 1 Flow;River Discharge;Q;2023-05-10 09:40:00;2024-01-11 08:40:00
Gauge - Lanark Dam;MVCA18;55253042;191.Bay 2 Flow;River Discharge;Q;2023-05-10 09:40:00;2024-01-11 08:40:00
Gauge - Lanark Dam;MVCA18;55254042;192.Bay 3 Flow;River Discharge;Q;2023-05-10 09:40:00;2024-01-11 08:40:00
Gauge - Lanark Dam;MVCA18;55255042;193.Bay 4 Flow;River Discharge;Q;2023-05-10 09:40:00;2024-01-11 08:40:00
Gauge - Widow Lake;MVCA17;55256042;190.Bay 1 Flow;River Discharge;Q;2017-09-15 11:00:00;2024-01-11 06:00:00
Gauge - Widow Lake;MVCA17;55257042;191.Bay 2 Flow;River Discharge;Q;2017-09-15 11:00:00;2024-01-11 06:00:00
Gauge - Widow Lake;MVCA17;55258042;192.Bay 3 Flow;River Discharge;Q;2017-09-15 11:00:00;2024-01-11 06:00:00
Gauge - Widow Lake;MVCA17;55259042;193.Bay 4 Flow;River Discharge;Q;2017-09-15 11:00:00;2024-01-11 06:00:00
Gauge - Mississagagon Lake;MVCA14;55260042;190.Bay 1 Flow;River Discharge;Q;2013-02-18 00:00:00;2024-01-11 06:00:00
Gauge - Canonto Lake;MVCA13;55261042;190.Bay 1 Flow;River Discharge;Q;2016-11-16 16:00:00;2024-01-10 12:00:00
Gauge - Canonto Lake;MVCA13;55262042;191.Bay 2 Flow;River Discharge;Q;2016-11-16 16:00:00;2024-01-10 12:00:00
Gauge - Shabomeka Lake;MVCA1;55263042;190.Bay 1 Flow;River Discharge;Q;1994-09-03 00:00:00;2024-01-10 12:00:00
Gauge - Pine Lake;MVCA24;55268042;190.Bay 1 Flow;River Discharge;Q;2020-11-06 13:00:00;2024-01-09 11:59:59
Gauge - Carleton Place Dam;MVCA9;55325042;195.Weir Flow;River Discharge;Q;2008-11-18 00:00:00;2024-01-11 06:00:00
Gauge - Carleton Place Dam;MVCA9;55326042;101.Original;River Discharge;Q;2008-11-18 00:00:00;2024-01-11 06:00:00
Gauge - Carleton Place Dam;MVCA9;55327042;102.Edited;River Discharge;Q;2008-11-18 00:00:00;2024-01-11 06:00:00
Gauge - Palmerston Lake;MVCA6;55328042;101.Original;River Discharge;Q;2000-01-13 11:00:00;2024-01-11 06:00:00
Gauge - Palmerston Lake;MVCA6;55329042;102.Edited;River Discharge;Q;2000-01-13 11:00:00;2024-01-11 06:00:00
Gauge - Summit Lake;MVCA27;55332042;101.Original;River Discharge;Q;2019-07-20 09:00:00;2024-01-11 07:00:00
